1_previous_company_,the company rita work before
1_previous_company_,the company rita work previously
1_previous_company_,company she work for
2_formality_,Can you tell me
2_formality_,Could you tell me
2_formality_,would you mind telling me
2_formality_,If you do not mind telling me
2_formality_,If you would not mind telling me
2_formality_,excuse me
2_formality_,I would like to know
2_formality_,I would love to know
2_formality_,If you were so kind as to tell me
2_formality_,If you would be so kind as to tell me
2_formality_,Do you know
2_formality_,I want you could tell me
2_formality_,I do not know
2_formality_,Would you not happen to know
2_formality_,Can you give me information
2_formality_,hello
2_formality_,hi
2_formality_,hey
2_formality_,howdy
2_formality_,good morning
2_formality_,good afternoon
2_formality_,good evening
2_formality_,good day
2_formality_,good night
2_formality_,bonjour
2_formality_,merci
2_formality_,thanks
2_formality_,thank you
2_formality_,gracias
2_formality_,shukran
2_who_,the person
2_who_,whom
2_child_,kid
2_child_,girl
2_child_,little person
2_child_,teenager
2_ML_engineer_,data scientist
2_ML_engineer_,ML engineer
2_ML_engineer_,NLP engineer
2_when_,stage time
2_when_,moment time
2_when_,period time
2_when_,the day
2_when_,the month
2_when_,the week
2_when_,the year
2_how_,which way
2_how_,what way
2_how_,the way
2_exit_conv_,bye
2_exit_conv_,goodbye
2_exit_conv_,it be plasure talk with you
2_exit_conv_,it be pleasure talk to you
2_exit_conv_,I do not want to talk to you
2_exit_conv_,I do not want to talk with you
2_exit_conv_,end talk
2_exit_conv_,exit
2_exit_conv_,I want out of talk
2_exit_conv_,I want to leave talk
2_exit_conv_,I don't want to keep talking to you
2_exit_conv_,I want to leave this screen
2_exit_conv_,I want to leave this window
2_exit_conv_,I want to leave this page
2_exit_conv_,I want to leave this website
2_exit_conv_,have a nice afternoon
2_exit_conv_,have a nice day
2_exit_conv_,have a nice evening
2_exit_conv_,wish you all the best of luck
